Date,Open,High,Low,Close
7/20/2018,7470.01,7687,7259.76,7334.46
7/19/2018,7378.99,7563.81,7281.42,7470.01
7/18/2018,7315.01,7584.85,7229.89,7378.99
7/17/2018,6728.81,7472.5,6663.51,7315.01
7/16/2018,6348.73,6750,6330.3,6728.81
7/15/2018,6248.65,6385.35,6233.26,6348.73
7/14/2018,6216.29,6323.68,6187,6248.65
7/13/2018,6249.75,6335.09,6121.53,6216.29
7/12/2018,6390.04,6390.04,6075.01,6249.75
7/11/2018,6303.7,6400,6281.01,6390.04
7/10/2018,6664.01,6679.47,6279,6303.7
7/9/2018,6701.97,6815.82,6625,6664.01
7/8/2018,6753.28,6778.31,6671,6701.97
7/7/2018,6600,6843.26,6512,6753.28
7/6/2018,6532.95,6639,6452.2,6600
7/5/2018,6587.47,6700,6449.5,6532.95
7/4/2018,6502.62,6794.99,6411.51,6587.47
7/3/2018,6611.79,6673.99,6465,6502.62
7/2/2018,6349.5,6669.99,6270.01,6611.79
7/1/2018,6383.19,6424.14,6256.76,6349.5
6/30/2018,6202.36,6520.15,6185,6383.19
6/29/2018,5851.66,6300,5790.01,6202.36
6/28/2018,6132.17,6161.47,5818,5851.66
6/27/2018,6074.94,6175.43,5984.11,6132.17
6/26/2018,6246.01,6271,6024.99,6074.94
6/25/2018,6149.99,6340.01,6070.13,6246.01
6/24/2018,6178.29,6255.8,5777,6149.99
6/23/2018,6059.82,6250,6040.01,6178.29
6/22/2018,6719.01,6725,5921.21,6059.82
6/21/2018,6756.1,6787,6682.3,6719.01
6/20/2018,6736.41,6817,6557.66,6756.1
6/19/2018,6709.02,6829.06,6670.01,6736.41
6/18/2018,6447.16,6795,6385,6709.02
6/17/2018,6484.29,6570.01,6428.14,6447.16
6/16/2018,6391.22,6549.99,6330,6484.29
6/15/2018,6638.49,6659.99,6370,6391.22
6/14/2018,6302.32,6749.99,6269,6638.49
6/13/2018,6544.99,6618.95,6135,6302.32
6/12/2018,6881,6885.84,6450,6544.99
6/11/2018,6770.31,6913.83,6666.66,6881
6/10/2018,7496.4,7496.41,6652,6770.31
6/9/2018,7618.8,7679.61,7468,7496.4
6/8/2018,7684.93,7690,7536.58,7618.8
6/7/2018,7655,7747,7635,7684.93
6/6/2018,7612.51,7691,7484,7655
6/5/2018,7487.37,7677.5,7355,7612.51
6/4/2018,7706.37,7747.57,7447.61,7487.37
6/3/2018,7636.42,7777,7583.24,7706.37
6/2/2018,7514.32,7697.09,7440,7636.42
6/1/2018,7485,7599.99,7351.01,7514.32
5/31/2018,7380.01,7608.99,7340,7485
5/30/2018,7460,7557.78,7272.71,7380.01
5/29/2018,7107.94,7524.99,7058,7460
5/28/2018,7346.64,7444.8,7087,7107.94
5/27/2018,7337.95,7392.7,7229.01,7346.64
5/26/2018,7459.11,7640.46,7287.23,7337.95
5/25/2018,7584.15,7661.85,7326.94,7459.11
5/24/2018,7505,7734.99,7269,7584.15
5/23/2018,7987.7,8030,7433.19,7505
5/22/2018,8393.44,8400,7950,7987.7
5/21/2018,8516.86,8584.39,8309.23,8393.44
5/20/2018,8235.6,8596.74,8172,8516.86
5/19/2018,8238.51,8390,8152.54,8235.6
5/18/2018,8059,8279.63,7927.21,8238.51
5/17/2018,8344,8482.01,8001,8059
5/16/2018,8477.46,8500,8104.99,8344
5/15/2018,8670,8847,8420.45,8477.46
5/14/2018,8686.1,8880.01,8289.79,8670
5/13/2018,8475,8774.32,8345,8686.1
5/12/2018,8403.33,8658.57,8223.43,8475
5/11/2018,9010.51,9010.51,8351,8403.33
5/10/2018,9300.08,9386.31,9001.01,9010.51
